"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"110" "1" "1" "1" "5" "1" "2" "1" "1" "0" "1" "6" "2" "2" "1" "0" "2" "1" "1" "2"
"111" "0" "1" "1" "1" "999" "2" "1" "2" "2" "3" "1" "1" "4" "2" "0" "2" "2" "2" "3"
"112" "1" "2" "1" "3" "2" "2" "1" "0" "1" "2" "3" "2" "3" "2" "0" "2" "2" "2" "3"
"113" "1" "5" "1" "4" "2" "2" "1" "2" "0" "2" "6" "2" "1" "2" "0" "2" "2" "3" "3"
"114" "1" "1" "1" "4" "2" "2" "1" "0" "1" "4" "3" "1" "6" "2" "1" "2" "3" "3" "3"
"115" "0" "4" "1" "2" "999" "2" "1" "0" "0" "4" "3" "2" "5" "2" "0" "2" "3" "3" "3"
"116" "1" "5" "1" "1" "999" "2" "5" "0" "0" "2" "3" "2" "1" "2" "0" "2" "3" "4" "3"
"117" "1" "5" "1" "1" "999" "2" "5" "1" "1" "3" "6" "2" "1" "2" "0" "2" "2" "3" "3"
"118" "1" "1" "1" "1" "999" "2" "1" "2" "0" "2" "3" "2" "5" "1" "0" "2" "1" "1" "2"
"119" "1" "2" "1" "2" "999" "2" "1" "0" "1" "4" "4" "2" "6" "2" "1" "1" "2" "2" "3"
"120" "1" "5" "1" "3" "2" "1" "1" "0" "0" "1" "3" "2" "1" "2" "0" "2" "2" "3" "3"
"121" "1" "5" "1" "4" "2" "2" "1" "1" "0" "2" "3" "2" "1" "1" "0" "2" "1" "3" "2"
"122" "0" "4" "1" "1" "999" "2" "1" "2" "0" "4" "1" "1" "4" "1" "0" "2" "2" "2" "2"
"123" "0" "1" "1" "1" "999" "2" "5" "999" "1" "2" "3" "2" "3" "2" "0" "2" "4" "4" "4"
"124" "1" "1" "1" "1" "999" "2" "5" "2" "1" "2" "5" "2" "4" "1" "0" "2" "1" "1" "2"
"125" "0" "1" "1" "4" "2" "1" "1" "0" "0" "4" "3" "1" "6" "2" "0" "2" "2" "2" "2"
"126" "1" "1" "1" "1" "999" "2" "1" "1" "2" "2" "3" "1" "6" "1" "1" "1" "1" "1" "2"
"127" "1" "4" "1" "1" "999" "2" "5" "1" "1" "3" "3" "2" "6" "1" "1" "1" "999" "1" "2"
"128" "0" "2" "1" "1" "999" "2" "999" "999" "2" "3" "4" "2" "5" "2" "0" "2" "3" "4" "4"
"129" "1" "1" "1" "1" "999" "2" "5" "999" "1" "2" "1" "1" "5" "2" "0" "2" "4" "4" "4"
"130" "0" "5" "1" "2" "999" "2" "1" "999" "0" "1" "3" "2" "2" "1" "0" "2" "1" "2" "1"
"131" "1" "1" "1" "1" "999" "2" "5" "1" "0" "4" "4" "2" "6" "2" "1" "2" "3" "3" "3"
"132" "1" "1" "1" "1" "999" "2" "5" "2" "1" "2" "3" "2" "5" "1" "0" "2" "2" "2" "2"
"133" "1" "5" "1" "3" "1" "2" "1" "0" "0" "2" "6" "2" "1" "2" "0" "2" "2" "3" "3"
"134" "1" "1" "1" "4" "2" "1" "1" "999" "999" "2" "3" "1" "5" "1" "0" "2" "1" "2" "2"
"135" "0" "5" "1" "4" "2" "2" "999" "0" "1" "4" "6" "2" "1" "1" "0" "2" "1" "2" "2"
"136" "1" "5" "1" "5" "2" "2" "1" "2" "1" "2" "3" "2" "1" "2" "0" "2" "3" "4" "4"
"137" "1" "2" "1" "6" "2" "2" "7" "999" "1" "4" "4" "2" "6" "1" "1" "2" "2" "2" "2"
"138" "0" "2" "1" "1" "999" "2" "5" "1" "0" "2" "3" "2" "6" "1" "1" "2" "999" "1" "1"
"139" "0" "5" "1" "1" "999" "2" "1" "1" "0" "3" "3" "2" "1" "1" "0" "2" "1" "2" "2"
"140" "0" "2" "1" "1" "999" "2" "1" "2" "1" "4" "3" "2" "1" "1" "0" "2" "1" "1" "1"
"141" "1" "1" "1" "6" "2" "2" "1" "0" "0" "4" "2" "1" "5" "1" "0" "2" "2" "2" "2"
"142" "0" "5" "1" "4" "2" "1" "1" "0" "999" "3" "6" "2" "1" "2" "0" "2" "3" "4" "3"
"143" "1" "1" "1" "4" "2" "2" "1" "2" "0" "4" "3" "2" "6" "1" "1" "1" "1" "2" "2"
"144" "1" "4" "1" "1" "999" "2" "7" "2" "1" "2" "3" "1" "6" "2" "1" "2" "3" "3" "3"
"145" "0" "4" "1" "1" "999" "2" "5" "0" "1" "3" "1" "1" "4" "1" "1" "2" "2" "3" "2"
"146" "1" "5" "1" "6" "2" "2" "1" "0" "1" "2" "3" "2" "1" "1" "0" "2" "2" "3" "2"
"147" "0" "4" "1" "4" "2" "2" "1" "0" "1" "4" "4" "2" "6" "1" "0" "2" "2" "1" "2"
"148" "1" "1" "1" "1" "999" "2" "5" "1" "999" "3" "1" "1" "6" "1" "1" "2" "999" "1" "1"
"149" "1" "5" "1" "1" "999" "2" "6" "2" "999" "3" "3" "2" "1" "1" "0" "2" "2" "3" "2"
"150" "0" "5" "1" "3" "2" "2" "5" "0" "0" "2" "6" "2" "1" "1" "0" "2" "2" "3" "2"
"151" "0" "1" "1" "1" "999" "2" "1" "1" "1" "3" "5" "2" "1" "2" "0" "2" "3" "4" "3"
"152" "0" "2" "1" "1" "999" "2" "1" "1" "999" "4" "6" "2" "2" "2" "0" "2" "4" "3" "4"
"153" "0" "5" "1" "4" "2" "2" "999" "0" "1" "2" "3" "2" "1" "2" "0" "2" "4" "4" "4"
"154" "0" "5" "1" "1" "999" "2" "5" "2" "1" "3" "3" "2" "1" "2" "0" "2" "1" "3" "3"
"155" "1" "1" "1" "3" "1" "2" "1" "0" "0" "1" "3" "2" "1" "2" "0" "2" "3" "3" "3"
"156" "0" "1" "1" "1" "999" "2" "5" "0" "1" "2" "1" "1" "3" "2" "0" "2" "4" "4" "4"
"157" "0" "5" "1" "2" "999" "2" "5" "0" "999" "4" "3" "2" "1" "2" "0" "2" "4" "4" "4"
